Acc_x,Acc_y,Acc_z
0.34,0.88,0.09
0.37,0.88,0.11
0.38,0.88,0.14
0.39,0.88,0.16
0.39,0.89,0.18
0.39,0.88,0.21
0.41,0.86,0.23
0.41,0.85,0.25
0.41,0.84,0.28
0.6,0.62,0.55
1.19,0.17,2.17
0.94,0.35,2.16
0.43,0.86,0.58
0.16,1.06,0.47
-0.11,0.99,0.5
0.26,0.78,0.28
0.46,0.8,0.1
0.44,0.87,0.06
0.5,0.88,0.13
0.51,0.83,0.28
0.46,0.8,0.37
0.4,0.81,0.39
0.35,0.82,0.39
0.34,0.83,0.37
0.36,0.84,0.34
0.39,0.85,0.35
0.43,0.84,0.36
0.44,0.83,0.37
0.43,0.83,0.36
0.41,0.84,0.34
0.38,0.84,0.33
0.36,0.85,0.33
0.36,0.84,0.34
0.37,0.84,0.34
0.38,0.85,0.35
0.39,0.85,0.34
0.4,0.85,0.34
0.4,0.84,0.34
0.41,0.84,0.34
0.4,0.83,0.34
0.39,0.83,0.34
0.39,0.83,0.34
0.39,0.83,0.33
0.39,0.84,0.34
0.39,0.85,0.34
0.39,0.85,0.34
0.39,0.85,0.34
0.39,0.85,0.34
0.39,0.84,0.34
0.39,0.84,0.34
0.38,0.84,0.35
0.39,0.84,0.35
0.4,0.85,0.34
0.4,0.85,0.33
0.39,0.84,0.34
0.39,0.84,0.34
0.39,0.84,0.34
0.39,0.83,0.34
0.4,0.83,0.34
0.39,0.83,0.35
0.39,0.84,0.35
0.39,0.84,0.34
0.4,0.85,0.34
0.4,0.85,0.34
0.41,0.85,0.34
0.4,0.85,0.35
0.4,0.84,0.35
0.4,0.84,0.35
0.39,0.84,0.35
0.39,0.84,0.35
0.39,0.84,0.35
0.4,0.83,0.34
0.4,0.83,0.35
0.4,0.83,0.35
0.39,0.84,0.35
0.39,0.84,0.35
0.39,0.84,0.34
0.39,0.85,0.34
0.39,0.85,0.33
0.39,0.85,0.33
0.39,0.85,0.32
0.39,0.85,0.32
0.39,0.85,0.32
0.39,0.84,0.33
0.39,0.84,0.33
0.4,0.85,0.33
0.4,0.84,0.33
0.4,0.85,0.33
0.4,0.84,0.33
0.4,0.84,0.34
0.4,0.84,0.35
0.4,0.84,0.38
0.4,0.84,0.4
0.41,0.83,0.42
0.4,0.83,0.43
0.4,0.83,0.44
0.41,0.82,0.46
0.43,0.82,0.47
0.44,0.81,0.47
0.46,0.8,0.47
0.45,0.79,0.48
0.44,0.8,0.48
0.45,0.8,0.47
0.45,0.81,0.43
0.44,0.82,0.42
0.42,0.82,0.4
0.4,0.83,0.38
0.4,0.84,0.35
0.39,0.85,0.32
0.39,0.85,0.3
0.38,0.86,0.29
0.37,0.86,0.26
0.37,0.87,0.22
0.35,0.88,0.2
0.33,0.9,0.18
