Acc_x,Acc_y,Acc_z
0.34,0.24,0.94
0.31,0.24,0.95
0.28,0.23,0.95
0.25,0.23,0.95
0.21,0.21,0.95
0.17,0.21,0.93
0.13,0.21,0.9
0.12,0.2,0.9
0.13,0.2,0.92
0.12,0.19,0.95
0.1,0.17,0.98
0.1,0.17,1
0.11,0.16,1.02
0.14,0.15,1.02
0.2,0.14,1
0.23,0.13,0.98
0.25,0.13,0.99
0.25,0.14,0.97
0.24,0.15,0.97
0.22,0.15,0.99
0.21,0.15,1.01
0.22,0.15,1.03
0.24,0.16,1.05
0.26,0.17,1.07
0.28,0.18,1.07
0.29,0.19,1.04
0.31,0.19,1.01
0.33,0.19,0.98
0.36,0.2,0.97
0.39,0.21,0.97
0.41,0.22,0.95
0.42,0.24,0.94
0.42,0.26,0.93
0.44,0.27,0.93
0.46,0.28,0.93
0.46,0.29,0.92
0.48,0.3,0.9
0.51,0.31,0.86
0.55,0.32,0.82
0.58,0.32,0.8
0.62,0.33,0.77
0.66,0.34,0.72
0.69,0.35,0.69
0.7,0.36,0.67
0.73,0.38,0.64
0.74,0.4,0.61
0.73,0.41,0.58
0.72,0.42,0.55
0.72,0.44,0.51
0.73,0.46,0.48
0.74,0.47,0.44
0.75,0.49,0.42
0.77,0.51,0.38
0.81,0.51,0.34
0.83,0.53,0.31
0.86,0.54,0.27
0.88,0.54,0.26
0.84,0.55,0.25
0.81,0.55,0.26
0.8,0.54,0.25
0.79,0.56,0.22
0.81,0.57,0.17
0.84,0.58,0.15
0.85,0.57,0.14
0.84,0.58,0.12
0.83,0.59,0.11
0.82,0.59,0.12
0.81,0.59,0.12
0.81,0.58,0.12
0.81,0.58,0.13
0.79,0.58,0.13
0.77,0.59,0.11
0.77,0.59,0.1
0.78,0.58,0.09
0.77,0.59,0.09
0.78,0.58,0.08
0.8,0.58,0.06
0.78,0.6,0.06
0.76,0.61,0.04
0.78,0.61,0.04
0.8,0.6,0.04
0.81,0.59,0.04
0.82,0.6,0.05
0.81,0.6,0.06
0.79,0.6,0.07
0.79,0.6,0.06
0.79,0.6,0.04
0.79,0.61,0.03
0.79,0.6,0.03
0.79,0.59,0.03
0.79,0.6,0.04
0.8,0.61,0.04
0.81,0.61,0.04
0.8,0.62,0.05
0.79,0.62,0.06
0.78,0.61,0.05
0.77,0.6,0.05
0.75,0.61,0.06
0.74,0.62,0.07
0.73,0.63,0.06
0.72,0.63,0.06
0.73,0.63,0.04
0.73,0.65,0.03
0.71,0.68,0.01
0.66,0.66,0.01
0.68,0.64,0.02
0.68,0.66,0.01
0.67,0.66,0.02
0.67,0.68,0.03
0.64,0.69,0.03
0.59,0.69,0.02
0.59,0.7,0.02
0.59,0.71,0.02
0.59,0.71,-0.01
0.59,0.71,-0.02
0.6,0.71,-0.01
0.61,0.71,0.01
0.6,0.71,0.02
0.58,0.71,0.02
0.56,0.72,0.01
0.55,0.74,0.01
0.54,0.75,0.01
0.53,0.75,0
0.52,0.76,0
0.53,0.75,0
0.55,0.76,0.02
0.54,0.77,0.01
0.54,0.76,0.01
0.54,0.76,0.01
0.53,0.77,0.02
