Acc_x,Acc_y,Acc_z
0.41,0.83,0.33
0.41,0.83,0.32
0.41,0.83,0.3
0.41,0.84,0.28
0.42,0.85,0.26
0.42,0.85,0.25
0.41,0.86,0.23
0.41,0.87,0.22
0.41,0.87,0.21
0.41,0.88,0.2
0.41,0.89,0.19
0.41,0.9,0.18
0.41,0.91,0.17
0.41,0.91,0.16
0.41,0.92,0.14
0.41,0.93,0.13
0.4,0.93,0.1
0.39,0.93,0.09
0.38,0.93,0.06
0.37,0.94,0.02
0.37,0.95,-0.03
0.39,0.94,-0.07
0.41,0.93,-0.08
0.41,0.91,-0.05
0.35,0.92,-0.05
0.31,0.92,-0.03
0.26,0.9,0
0.22,0.87,0.05
0.21,0.82,0.13
0.2,0.78,0.25
0.13,0.73,0.39
1.52,-0.31,1.76
2.09,-0.37,2.86
0.64,0.73,1.73
0.03,0.82,0.51
0.04,0.77,0.29
0.23,0.81,0.28
0.47,0.83,0.12
0.65,0.87,0.06
0.7,0.89,0.08
0.64,0.86,0.16
0.58,0.85,0.26
0.54,0.83,0.29
0.49,0.8,0.33
0.44,0.78,0.37
0.44,0.77,0.38
0.47,0.78,0.37
0.49,0.79,0.36
0.51,0.79,0.35
0.55,0.79,0.32
0.56,0.79,0.31
0.54,0.79,0.3
0.51,0.79,0.3
0.49,0.78,0.3
0.48,0.78,0.31
0.48,0.78,0.32
0.47,0.78,0.32
0.48,0.79,0.33
0.5,0.79,0.33
0.51,0.79,0.34
0.51,0.79,0.34
0.51,0.8,0.34
0.51,0.8,0.33
0.51,0.8,0.31
0.51,0.8,0.31
0.51,0.79,0.3
0.5,0.79,0.31
0.5,0.79,0.32
0.49,0.79,0.31
0.5,0.79,0.31
0.51,0.79,0.31
0.51,0.79,0.31
0.52,0.79,0.31
0.52,0.8,0.31
0.52,0.8,0.32
0.51,0.8,0.32
0.5,0.8,0.32
0.51,0.79,0.32
0.51,0.79,0.32
0.51,0.79,0.32
0.5,0.79,0.32
0.49,0.8,0.32
0.49,0.8,0.32
0.49,0.8,0.32
0.5,0.8,0.32
0.51,0.8,0.31
0.5,0.79,0.31
0.49,0.79,0.31
0.49,0.79,0.31
0.49,0.78,0.31
0.49,0.78,0.31
0.49,0.78,0.32
0.5,0.79,0.33
0.51,0.79,0.33
0.51,0.79,0.32
0.51,0.79,0.33
0.5,0.79,0.33
0.5,0.79,0.33
0.5,0.79,0.32
0.5,0.78,0.32
0.49,0.78,0.32
0.49,0.78,0.32
0.49,0.79,0.3
0.51,0.78,0.3
0.51,0.78,0.3
0.51,0.78,0.31
0.51,0.78,0.31
0.51,0.78,0.32
0.5,0.79,0.32
0.5,0.79,0.33
0.51,0.79,0.32
0.52,0.8,0.32
0.52,0.79,0.32
0.52,0.79,0.32
0.52,0.79,0.31
0.52,0.8,0.31
0.52,0.79,0.31
0.52,0.79,0.31
0.51,0.79,0.31
0.51,0.79,0.31
0.51,0.79,0.31
0.51,0.79,0.31
0.51,0.78,0.31
0.5,0.78,0.31
0.51,0.78,0.32
0.51,0.78,0.32
0.51,0.78,0.33
0.51,0.79,0.33
0.51,0.79,0.31
0.51,0.78,0.32
0.51,0.77,0.34
0.51,0.77,0.35
0.52,0.77,0.36
0.52,0.77,0.36
0.52,0.77,0.36
0.51,0.77,0.36
0.52,0.77,0.37
0.52,0.77,0.38
0.53,0.77,0.39
0.54,0.77,0.4
0.54,0.77,0.41
0.53,0.77,0.4
0.53,0.78,0.38
0.53,0.78,0.36
0.53,0.79,0.34
0.54,0.79,0.32
